test-1	TRUE	FALSE
test-2	FALSE	TRUE
test-3	TRUE	FALSE
test-4	FALSE	TRUE
test-5	TRUE	FALSE
test-6	TRUE	FALSE
test-7	TRUE	FALSE
test-8	FALSE	TRUE
test-9	TRUE	FALSE
test-10	FALSE	TRUE
test-11	TRUE	FALSE
test-12	TRUE	FALSE
test-13	TRUE	FALSE
test-14	FALSE	TRUE
test-15	TRUE	FALSE
test-16	TRUE	FALSE
test-17	TRUE	FALSE
test-18	FALSE	TRUE
test-19	FALSE	TRUE
test-20	TRUE	FALSE
test-21	FALSE	TRUE
test-22	FALSE	TRUE
test-23	TRUE	FALSE
test-24	TRUE	FALSE
test-25	TRUE	FALSE
test-26	FALSE	FALSE
test-27	FALSE	TRUE
test-28	FALSE	TRUE
test-29	FALSE	TRUE
test-30	TRUE	FALSE
test-31	FALSE	TRUE
test-32	TRUE	FALSE
test-33	FALSE	TRUE
test-34	TRUE	FALSE
test-35	FALSE	TRUE
test-36	TRUE	FALSE
test-37	TRUE	FALSE
test-38	FALSE	TRUE
test-39	FALSE	TRUE
test-40	FALSE	TRUE
test-41	TRUE	FALSE
test-42	TRUE	FALSE
test-43	FALSE	FALSE
test-44	FALSE	TRUE
test-45	FALSE	TRUE
test-46	FALSE	FALSE
test-47	TRUE	FALSE
test-48	TRUE	FALSE
test-49	TRUE	FALSE
test-50	TRUE	FALSE
test-51	FALSE	TRUE
test-52	FALSE	FALSE
test-53	TRUE	FALSE
test-54	TRUE	FALSE
test-55	FALSE	TRUE
test-56	FALSE	TRUE
test-57	FALSE	TRUE
test-58	FALSE	TRUE
test-59	TRUE	FALSE
test-60	TRUE	FALSE
test-61	TRUE	FALSE
test-62	TRUE	FALSE
test-63	TRUE	FALSE
test-64	FALSE	TRUE
test-65	FALSE	FALSE
test-66	FALSE	TRUE
test-67	FALSE	TRUE
test-68	FALSE	TRUE
test-69	TRUE	FALSE
test-70	TRUE	FALSE
test-71	TRUE	FALSE
test-72	FALSE	TRUE
test-73	TRUE	FALSE
test-74	FALSE	TRUE
test-75	FALSE	TRUE
test-76	TRUE	FALSE
test-77	TRUE	FALSE
test-78	TRUE	FALSE
test-79	TRUE	FALSE
test-80	TRUE	FALSE
test-81	FALSE	TRUE
test-82	TRUE	FALSE
test-83	TRUE	FALSE
test-84	TRUE	FALSE
test-85	TRUE	FALSE
test-86	FALSE	TRUE
test-87	TRUE	FALSE
test-88	TRUE	FALSE
